ema_short,ema_long,total_return_pct,win_rate
5,20,-20.74719978248004,0.1280353200883002
5,26,-20.568825591067842,0.13053097345132744
5,30,-20.45686639291424,0.13274336283185842
5,50,-20.540835791529354,0.13053097345132744
9,20,-20.40088679383738,0.13274336283185842
9,26,-20.260937796145523,0.13716814159292035
9,30,-20.09299899891519,0.13716814159292035
9,50,-19.726822948052813,0.14222222222222222
12,20,-19.449272127733142,0.14444444444444443
12,26,-19.69906786602088,0.14222222222222222
12,30,-19.726822948052813,0.14222222222222222
12,50,-19.421517045701204,0.14444444444444443
15,20,-19.762922052636252,0.1343612334801762
15,26,-19.984924168881076,0.13656387665198239
15,30,-20.234676549656474,0.13656387665198239
15,50,-20.17917602059531,0.13656387665198239
